date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-05-21,AT_11,0,0,,76,336,11,,10958
2020-05-21,AT_12,7,0,,1032,2806,99,,52614
2020-05-21,AT_13,26,0,,2032,3014,144,,90228
2020-05-21,AT_21,0,0,,147,411,13,,14910
2020-05-21,AT_22,2,0,,1106,1833,142,,44061
2020-05-21,AT_31,2,0,,745,2286,60,,54982
2020-05-21,AT_32,0,0,,133,1220,38,,31329
2020-05-21,AT_33,2,0,,443,3534,107,,67834
2020-05-21,AT_34,1,0,,301,895,19,,18691
2020-05-21,AU_ACT,0,0,0,311,107,3,104,15023
2020-05-21,AU_NSW,1,0,17,9734,3082,47,2648,394012
2020-05-21,AU_NT,0,0,1,136,29,0,30,6809
2020-05-21,AU_QLD,0,0,0,3317,1058,6,1040,166877
2020-05-21,AU_SA,0,0,0,1692,439,4,435,85565
2020-05-21,AU_TAS,0,0,2,421,228,13,198,23448
2020-05-21,AU_VIC,1,0,8,11401,1581,18,1473,378673
2020-05-21,AU_WA,0,0,0,1818,557,9,545,71462
2020-05-21,CA,453,32,415,-5392,80544,6062,41108,1369734
2020-05-21,CA_AB,19,0,53,0,6735,128,5637,203397
2020-05-21,CA_BC,0,0,0,1168,2467,149,2001,108320
2020-05-21,CA_MB,0,0,3,590,279,7,260,35723
2020-05-21,CA_NB,0,0,0,359,120,0,120,20104
2020-05-21,CA_NL,0,0,3,126,260,3,253,10967
2020-05-21,CA_NS,0,0,0,343,1045,57,956,38275
2020-05-21,CA_NT,0,0,0,-3,5,0,5,1887
2020-05-21,CA_NU,0,0,0,9,0,0,0,685
2020-05-21,CA_ON,413,31,319,-8384,24187,1993,18509,558792
2020-05-21,CA_PE,0,0,0,0,27,0,27,4951
2020-05-21,CA_QC,0,0,0,0,44775,3718,12822,346684
2020-05-21,CA_SK,21,1,24,400,620,7,494,38732
2020-05-21,CA_YT,0,0,0,0,11,0,11,1141
2020-05-21,CH_BE,2,0,,,1869,96,,
2020-05-21,CH_BL,0,0,0,,838,35,798,
2020-05-21,CH_SO,3,0,,,439,16,,
2020-05-21,CH_SZ,0,0,1,0,307,23,283,
2020-05-21,CZ_10,1,,,,2005,,,
2020-05-21,CZ_20,2,,,,1038,,,
2020-05-21,CZ_31,1,,,,182,,,
2020-05-21,CZ_32,2,,,,659,,,
2020-05-21,CZ_41,0,,,,446,,,
2020-05-21,CZ_42,1,,,,532,,,
2020-05-21,CZ_51,0,,,,200,,,
2020-05-21,CZ_52,0,,,,196,,,
2020-05-21,CZ_53,0,,,,285,,,
2020-05-21,CZ_63,0,,,,182,,,
2020-05-21,CZ_64,0,,,,515,,,
2020-05-21,CZ_71,0,,,,732,,,
2020-05-21,CZ_72,8,,,,354,,,
2020-05-21,CZ_80,12,,,,1330,,,
2020-05-21,FJ,0,0,,,18,0,,
2020-05-21,GB,0,338,,0,,36042,,
2020-05-21,GB_ENG,0,274,,,,32117,,
2020-05-21,GB_NIR,0,3,,0,,501,,
2020-05-21,GB_NIR_N09000001,0,,,,370,,,
2020-05-21,GB_NIR_N09000002,6,,,,487,,,
2020-05-21,GB_NIR_N09000003,4,,,,1294,,,
2020-05-21,GB_NIR_N09000004,3,,,,189,,,
2020-05-21,GB_NIR_N09000005,0,,,,163,,,
2020-05-21,GB_NIR_N09000006,1,,,,80,,,
2020-05-21,GB_NIR_N09000007,4,,,,425,,,
2020-05-21,GB_NIR_N09000008,1,,,,293,,,
2020-05-21,GB_NIR_N09000009,4,,,,215,,,
2020-05-21,GB_NIR_N09000010,7,,,,269,,,
2020-05-21,GB_NIR_N09000011,10,,,,336,,,
2020-05-21,GB_SCT,105,37,,2579,14856,2221,,95173
2020-05-21,GB_SCT_S08000015,8,,,,995,,,
2020-05-21,GB_SCT_S08000016,0,,,,322,,,
2020-05-21,GB_SCT_S08000017,0,,,,257,,,
2020-05-21,GB_SCT_S08000019,2,,,,896,,,
2020-05-21,GB_SCT_S08000020,2,,,,1218,,,
2020-05-21,GB_SCT_S08000022,0,,,,334,,,
2020-05-21,GB_SCT_S08000024,27,,,,2611,,,
2020-05-21,GB_SCT_S08000025,0,,,,7,,,
2020-05-21,GB_SCT_S08000026,0,,,,54,,,
2020-05-21,GB_SCT_S08000028,0,,,,6,,,
2020-05-21,GB_SCT_S08000029,0,,,,826,,,
2020-05-21,GB_SCT_S08000030,15,,,,1632,,,
2020-05-21,GB_SCT_S08000031,26,,,,3806,,,
2020-05-21,GB_SCT_S08000032,25,,,,1892,,,
2020-05-21,GD,0,0,,,22,0,,
2020-05-21,ID_AC,0,,,,18,,,
2020-05-21,ID_BA,3,,,,374,,,
2020-05-21,ID_BB,1,,,,36,,,
2020-05-21,ID_BE,2,,,,69,,,
2020-05-21,ID_BT,54,,,,753,,,
2020-05-21,ID_GO,16,,,,44,,,
2020-05-21,ID_JA,0,,,,89,,,
2020-05-21,ID_JB,86,,,,1962,,,
2020-05-21,ID_JI,502,,,,2998,,,
2020-05-21,ID_JK,65,,,,6301,,,
2020-05-21,ID_JT,25,,,,1217,,,
2020-05-21,ID_KB,1,,,,133,,,
2020-05-21,ID_KI,2,,,,266,,,
2020-05-21,ID_KR,0,,,,140,,,
2020-05-21,ID_KS,10,,,,557,,,
2020-05-21,ID_KT,13,,,,254,,,
2020-05-21,ID_KU,2,,,,162,,,
2020-05-21,ID_LA,16,,,,101,,,
2020-05-21,ID_MA,11,,,,135,,,
2020-05-21,ID_MU,1,,,,97,,,
2020-05-21,ID_NB,17,,,,410,,,
2020-05-21,ID_NT,3,,,,79,,,
2020-05-21,ID_PA,1,,,,410,,,
2020-05-21,ID_PB,4,,,,110,,,
2020-05-21,ID_RI,1,,,,108,,,
2020-05-21,ID_SA,28,,,,180,,,
2020-05-21,ID_SB,8,,,,436,,,
2020-05-21,ID_SG,0,,,,202,,,
2020-05-21,ID_SN,34,,,,1135,,,
2020-05-21,ID_SR,8,,,,86,,,
2020-05-21,ID_SS,28,,,,674,,,
2020-05-21,ID_ST,2,,,,117,,,
2020-05-21,ID_SU,23,,,,273,,,
2020-05-21,ID_YO,6,,,,215,,,
2020-05-21,IT,665,161,,,227364,32330,,
2020-05-21,JP_01,5,1,,,1012,78,,
2020-05-21,JP_11,1,,,,993,46,,
2020-05-21,JP_12,3,2,,,898,44,,
2020-05-21,JP_13,11,9,,,5086,256,,
2020-05-21,JP_14,10,2,,,1312,71,,
2020-05-21,JP_17,2,,,,292,22,,
2020-05-21,JP_22,1,,,,74,1,,
2020-05-21,JP_27,3,,,,1780,76,,
2020-05-21,JP_38,1,1,,,75,4,,
2020-05-21,MY_01,0,0,,,669,1,,
2020-05-21,MY_02,0,0,,,96,1,,
2020-05-21,MY_03,0,0,,,156,1,,
2020-05-21,MY_04,0,0,,,215,1,,
2020-05-21,MY_05,2,1,,,778,2,,
2020-05-21,MY_06,1,-1,,,339,1,,
2020-05-21,MY_07,0,0,,,121,2,,
2020-05-21,MY_08,0,0,,,255,2,,
2020-05-21,MY_09,0,0,,,18,1,,
2020-05-21,MY_10,8,-7,,,1673,8,,
2020-05-21,MY_11,0,0,,,111,1,,
2020-05-21,MY_12,0,0,,,338,1,,
2020-05-21,MY_13,0,0,,,544,1,,
2020-05-21,MY_14,39,29,,,1637,39,,
2020-05-21,MY_15,0,0,,,16,1,,
2020-05-21,MY_16,0,0,,,93,2,,
2020-05-21,"NA",0,0,,,16,0,,
2020-05-21,NL_DR,0,0,,,501,40,,
2020-05-21,NL_DR_0106,0,0,,,42,2,,
2020-05-21,NL_DR_0109,0,0,,,56,2,,
2020-05-21,NL_DR_0114,0,0,,,102,11,,
2020-05-21,NL_DR_0118,0,0,,,90,8,,
2020-05-21,NL_DR_0119,0,0,,,34,4,,
2020-05-21,NL_DR_1680,0,0,,,14,0,,
2020-05-21,NL_DR_1681,0,0,,,9,3,,
2020-05-21,NL_DR_1690,0,0,,,44,5,,
2020-05-21,NL_DR_1699,0,0,,,18,1,,
2020-05-21,NL_DR_1701,0,0,,,32,4,,
2020-05-21,NL_DR_1730,0,0,,,38,0,,
2020-05-21,NL_DR_1731,0,0,,,22,0,,
2020-05-21,NL_FL,5,0,,,893,82,,
2020-05-21,NL_FL_0034,1,0,,,412,27,,
2020-05-21,NL_FL_0050,1,0,,,43,5,,
2020-05-21,NL_FL_0171,0,0,,,80,9,,
2020-05-21,NL_FL_0184,1,0,,,79,4,,
2020-05-21,NL_FL_0303,1,0,,,115,11,,
2020-05-21,NL_FL_0995,1,0,,,164,26,,
2020-05-21,NL_FR,2,0,,,602,60,,
2020-05-21,NL_FR_0059,0,0,,,11,0,,
2020-05-21,NL_FR_0060,0,0,,,0,0,,
2020-05-21,NL_FR_0072,0,0,,,17,1,,
2020-05-21,NL_FR_0074,1,0,,,91,19,,
2020-05-21,NL_FR_0080,0,0,,,58,6,,
2020-05-21,NL_FR_0085,0,0,,,7,0,,
2020-05-21,NL_FR_0086,0,0,,,23,0,,
2020-05-21,NL_FR_0088,0,0,,,0,0,,
2020-05-21,NL_FR_0090,0,0,,,55,5,,
2020-05-21,NL_FR_0093,0,0,,,2,0,,
2020-05-21,NL_FR_0096,0,0,,,0,0,,
2020-05-21,NL_FR_0098,0,0,,,28,4,,
2020-05-21,NL_FR_0737,0,0,,,15,1,,
2020-05-21,NL_FR_1891,0,0,,,6,0,,
2020-05-21,NL_FR_1900,0,0,,,101,3,,
2020-05-21,NL_FR_1940,1,0,,,64,5,,
2020-05-21,NL_FR_1949,0,0,,,99,12,,
2020-05-21,NL_FR_1970,0,0,,,25,4,,
2020-05-21,NL_GE,20,2,,,5615,656,,
2020-05-21,NL_GE_0197,0,0,,,55,7,,
2020-05-21,NL_GE_0200,0,0,,,386,49,,
2020-05-21,NL_GE_0202,3,0,,,284,26,,
2020-05-21,NL_GE_0203,0,0,,,122,6,,
2020-05-21,NL_GE_0209,0,0,,,69,5,,
2020-05-21,NL_GE_0213,0,0,,,35,5,,
2020-05-21,NL_GE_0214,0,0,,,47,7,,
2020-05-21,NL_GE_0216,1,0,,,61,7,,
2020-05-21,NL_GE_0221,0,0,,,32,6,,
2020-05-21,NL_GE_0222,0,0,,,95,15,,
2020-05-21,NL_GE_0225,0,0,,,111,8,,
2020-05-21,NL_GE_0226,0,0,,,46,6,,
2020-05-21,NL_GE_0228,2,0,,,205,20,,
2020-05-21,NL_GE_0230,0,0,,,127,8,,
2020-05-21,NL_GE_0232,0,0,,,133,23,,
2020-05-21,NL_GE_0233,0,0,,,124,21,,
2020-05-21,NL_GE_0243,1,0,,,150,18,,
2020-05-21,NL_GE_0244,0,0,,,41,5,,
2020-05-21,NL_GE_0246,0,0,,,190,27,,
2020-05-21,NL_GE_0252,0,0,,,71,9,,
2020-05-21,NL_GE_0262,0,0,,,90,14,,
2020-05-21,NL_GE_0263,0,0,,,47,7,,
2020-05-21,NL_GE_0267,1,0,,,57,3,,
2020-05-21,NL_GE_0268,1,0,,,595,64,,
2020-05-21,NL_GE_0269,0,0,,,156,19,,
2020-05-21,NL_GE_0273,0,0,,,24,0,,
2020-05-21,NL_GE_0274,1,2,,,68,7,,
2020-05-21,NL_GE_0275,0,0,,,106,14,,
2020-05-21,NL_GE_0277,0,0,,,3,0,,
2020-05-21,NL_GE_0279,0,0,,,28,2,,
2020-05-21,NL_GE_0281,0,0,,,107,18,,
2020-05-21,NL_GE_0285,0,0,,,47,11,,
2020-05-21,NL_GE_0289,0,0,,,48,9,,
2020-05-21,NL_GE_0293,0,0,,,35,5,,
2020-05-21,NL_GE_0294,0,0,,,41,3,,
2020-05-21,NL_GE_0296,2,0,,,142,12,,
2020-05-21,NL_GE_0297,1,0,,,95,9,,
2020-05-21,NL_GE_0299,0,0,,,101,15,,
2020-05-21,NL_GE_0301,0,0,,,92,13,,
2020-05-21,NL_GE_0302,0,0,,,212,20,,
2020-05-21,NL_GE_0668,0,0,,,81,9,,
2020-05-21,NL_GE_1509,0,0,,,75,9,,
2020-05-21,NL_GE_1586,0,0,,,54,6,,
2020-05-21,NL_GE_1705,1,0,,,113,10,,
2020-05-21,NL_GE_1734,1,0,,,126,16,,
2020-05-21,NL_GE_1740,0,0,,,122,20,,
2020-05-21,NL_GE_1859,0,0,,,73,7,,
2020-05-21,NL_GE_1876,1,0,,,72,7,,
2020-05-21,NL_GE_1945,1,0,,,154,16,,
2020-05-21,NL_GE_1955,0,0,,,88,8,,
2020-05-21,NL_GE_1960,3,0,,,179,25,,
2020-05-21,NL_GR,2,0,,,346,15,,
2020-05-21,NL_GR_0003,0,0,,,5,0,,
2020-05-21,NL_GR_0010,0,0,,,17,0,,
2020-05-21,NL_GR_0014,1,0,,,165,3,,
2020-05-21,NL_GR_0024,0,0,,,2,0,,
2020-05-21,NL_GR_0037,0,0,,,7,1,,
2020-05-21,NL_GR_0047,0,0,,,8,0,,
2020-05-21,NL_GR_0765,0,0,,,5,0,,
2020-05-21,NL_GR_1895,0,0,,,13,1,,
2020-05-21,NL_GR_1950,0,0,,,6,0,,
2020-05-21,NL_GR_1952,1,0,,,32,3,,
2020-05-21,NL_GR_1966,0,0,,,29,3,,
2020-05-21,NL_GR_1969,0,0,,,57,4,,
2020-05-21,NL_LI,16,3,,,4554,713,,
2020-05-21,NL_LI_0882,3,0,,,136,13,,
2020-05-21,NL_LI_0888,0,0,,,43,5,,
2020-05-21,NL_LI_0889,0,0,,,41,8,,
2020-05-21,NL_LI_0893,0,0,,,23,2,,
2020-05-21,NL_LI_0899,1,1,,,97,15,,
2020-05-21,NL_LI_0907,0,0,,,55,10,,
2020-05-21,NL_LI_0917,1,0,,,361,51,,
2020-05-21,NL_LI_0928,3,0,,,198,33,,
2020-05-21,NL_LI_0935,4,2,,,840,127,,
2020-05-21,NL_LI_0938,0,0,,,104,12,,
2020-05-21,NL_LI_0944,0,0,,,35,5,,
2020-05-21,NL_LI_0946,0,0,,,50,7,,
2020-05-21,NL_LI_0957,0,0,,,129,22,,
2020-05-21,NL_LI_0965,0,0,,,45,5,,
2020-05-21,NL_LI_0971,0,0,,,114,15,,
2020-05-21,NL_LI_0981,0,0,,,30,1,,
2020-05-21,NL_LI_0983,0,0,,,296,62,,
2020-05-21,NL_LI_0984,0,0,,,102,17,,
2020-05-21,NL_LI_0986,0,0,,,45,7,,
2020-05-21,NL_LI_0988,0,0,,,128,13,,
2020-05-21,NL_LI_0994,1,0,,,84,7,,
2020-05-21,NL_LI_1507,0,0,,,120,24,,
2020-05-21,NL_LI_1640,1,0,,,180,32,,
2020-05-21,NL_LI_1641,0,0,,,102,14,,
2020-05-21,NL_LI_1669,0,0,,,47,7,,
2020-05-21,NL_LI_1711,0,0,,,89,15,,
2020-05-21,NL_LI_1729,0,0,,,75,14,,
2020-05-21,NL_LI_1883,1,0,,,396,59,,
2020-05-21,NL_LI_1894,0,0,,,265,62,,
2020-05-21,NL_LI_1903,1,0,,,161,27,,
2020-05-21,NL_LI_1954,0,0,,,163,22,,
2020-05-21,NL_NB,-443,-76,,,8278,1412,,
2020-05-21,NL_NB_0743,0,0,,,73,12,,
2020-05-21,NL_NB_0744,0,0,,,25,2,,
